x,y
0.0000,0.2889
0.0635,0.5569
0.1269,1.4016
0.1904,1.4317
0.2539,2.3899
0.3173,1.9834
0.3808,2.1580
0.4443,1.9865
0.5077,1.9623
0.5712,1.4633
0.6347,0.9401
0.6981,0.2375
0.7616,0.0116
0.8251,-0.2721
0.8885,-0.9232
0.9520,-1.5438
1.0155,-1.4958
1.0789,-1.7364
1.1424,-1.6461
1.2059,-1.8313
1.2693,-1.5767
1.3328,-1.0791
1.3963,-0.7401
1.4597,-0.3762
1.5232,-0.0861
1.5867,0.6073
1.6501,0.5400
1.7136,0.9002
1.7771,1.4062
1.8405,0.8158
1.9040,1.3526
1.9675,1.2305
2.0309,1.1711
2.0944,0.9257
2.1579,0.4284
2.2213,0.4114
2.2848,-0.4146
2.3483,-0.5092
2.4117,-0.7527
2.4752,-0.5674
2.5387,-0.8123
2.6021,-0.8887
2.6656,-1.2777
2.7291,-1.0619
2.7925,-0.8160
2.8560,-0.6700
2.9195,-0.8160
2.9829,0.0177
3.0464,0.0192
3.1099,-0.0492
3.1733,0.3177
3.2368,0.4154
3.3003,0.5624
3.3637,0.8156
3.4272,0.9753
3.4907,0.7678
3.5541,0.3353
3.6176,0.4903
3.6811,0.0926
3.7445,0.2374
3.8080,0.1790
3.8715,-0.2051
3.9349,-0.4220
3.9984,0.0431
4.0619,-0.5151
4.1253,-0.6401
4.1888,-0.8185
4.2523,-0.7108
4.3157,-0.4930
4.3792,-0.1309
4.4427,-0.3242
4.5061,-0.3802
4.5696,-0.4597
4.6331,-0.1409
4.6965,0.2969
4.7600,0.2187
4.8235,0.3943
4.8869,1.0117
4.9504,0.5878
5.0139,0.5657
5.0773,0.3515
5.1408,0.2895
5.2043,0.1568
5.2677,0.1706
5.3312,-0.0025
5.3947,-0.0149
5.4581,-0.3472
5.5216,0.2400
5.5851,-0.1908
5.6485,-0.1364
5.7120,-0.6737
5.7755,-0.5162
5.8389,-0.1993
5.9024,-0.0243
5.9659,0.1312
6.0293,-0.2462
6.0928,-0.2974
6.1563,-0.1056
6.2197,0.2068
6.2832,0.1155
