Star ,RA,Dec,Vmag,Bmag,Umag
    8,  11.883,  14.729,14.659,15.562,15.894
   12,  19.811,   6.584,18.549,19.215,19.148
   26,   7.500,  18.911,15.897,16.409,16.520
   30,  15.700,  10.521,14.467,15.404,15.762
   36,  11.310,  14.969,14.544,15.514,15.904
   45,   5.005,  21.212,18.198,18.847,18.781
   48,   8.308,  17.828,17.782,18.458,18.441
   49,  10.242,  15.866,17.701,18.380,18.368
   63,  17.138,   8.715,18.000,18.780,18.717
   70,   8.146,  17.828,18.366,19.028,19.006
   85,   3.497,  22.418,18.718,19.320,19.189
   95,   1.890,  23.985,18.697,19.382,19.223
  102,  22.296,   3.130,16.103,16.299,16.644
  115,  15.273,  10.296,18.699,19.313,19.256
  118,  17.371,   8.130,18.914,19.420,19.396
  120,   1.552,  24.158,18.943,19.452,19.335
  122,  15.335,  10.175,16.731,17.524,17.657
  132,  13.786,  11.658,17.109,17.146,16.860
  133,  18.868,   6.453,16.494,17.250,17.380
  140,   9.700,  15.738,18.760,19.286,19.233
  168,  21.584,   3.416,18.952,19.577,19.362
  200,  21.815,   2.927,18.941,19.466,19.379
  201,   1.040,  24.047,18.841,19.366,19.225
  204,   9.533,  15.429,17.278,18.012,18.072
  208,  20.465,   4.245,17.156,17.923,17.954
  209,  13.316,  11.565,18.162,18.790,18.801
  214,  21.727,   2.884,17.426,18.110,18.193
  225,  19.907,   4.694,16.169,16.656,16.838
  226,   5.807,  19.067,18.714,19.292,19.231
  235,   4.589,  20.246,18.447,19.172,19.124
  254,  11.690,  12.827,17.451,17.425,17.074
  261,  21.570,   2.658,15.896,16.294,16.577
  271,  21.588,   2.586,17.528,18.140,18.465
  290,  11.335,  12.937,18.272,18.879,18.867
  294,  17.955,   6.144,17.719,18.446,18.466
  299,   7.783,  16.474,18.266,19.022,18.960
  302,   3.383,  20.906,18.839,19.375,19.309
  306,   9.982,  14.193,18.604,19.259,19.115
  307,   6.519,  17.705,18.718,19.164,19.177
  323,  10.908,  13.112,18.203,18.861,18.805
  332,   7.462,  16.558,13.305,14.506,15.372
  338,  17.748,   6.045,17.612,17.567,16.972
  344,   9.732,  14.178,17.753,18.487,18.480
  351,  22.368,   1.204,18.047,18.770,18.768
  373,  20.992,   2.424,18.958,19.541,19.462
  375,  12.252,  11.363,18.302,18.456,18.683
  393,   5.243,  18.362,17.574,18.270,18.320
  402,  14.957,   8.394,17.051,17.760,17.814
  405,   6.120,  17.370,14.367,15.353,15.825
  409,   5.896,  17.579,18.244,18.950,18.634
  412,  16.247,   7.029,16.113,16.218,16.590
  416,  16.513,   6.739,17.597,18.293,18.349
  422,   9.911,  13.464,18.861,19.449,19.372
  501,  -0.747,  23.591,17.086,17.872,17.915
  505,  14.666,   7.931,16.316,16.818,16.971
  514,  10.949,  11.685,18.670,19.267,19.122
  515,  14.176,   8.379,16.914,17.650,17.726
  518,   6.428,  16.251,18.780,19.297,19.230
  528,  10.171,  12.422,18.440,19.073,19.050
  530,   5.576,  17.077,18.922,19.268,19.269
  540,   2.697,  19.926,17.807,18.565,18.504
  546,  21.616,   0.599,18.374,19.271,18.978
  547,  16.230,   6.126,18.627,19.257,19.148
  553,  15.676,   6.641,18.856,19.312,19.278
  554,  12.525,   9.860,18.705,19.220,19.075
  577,   5.610,  16.731,18.810,19.338,19.280
  603,  10.010,  12.097,18.270,18.830,18.777
  604,  10.835,  11.254,18.548,19.117,19.110
  605,   2.839,  19.362,18.090,18.796,18.783
  615,   5.670,  16.452,18.455,19.727,18.992
  621,  14.378,   7.555,17.484,18.198,18.229
  638,  20.180,   1.510,15.243,16.115,16.340
  640,  14.221,   7.608,18.936,19.389,19.382
  646,  13.741,   8.058,18.842,19.431,19.429
  672,   0.178,  21.658,18.684,18.833,19.033
  674,  16.820,   4.739,17.754,18.447,18.473
  687,  11.089,  10.480,16.181,16.948,17.174
  688,   7.729,  13.897,16.814,16.819,16.414
  692,   0.095,  21.597,18.995,19.545,19.420
  693,  11.942,   9.584,18.934,19.503,19.369
  696,   7.439,  14.155,18.654,19.196,18.736
  701,  12.408,   9.067,17.289,17.975,18.047
  702,   4.919,  16.680,16.005,16.136,16.465
  703,   5.593,  15.991,18.549,19.101,19.068
  707,   8.537,  12.984,18.935,19.427,19.323
  716,   4.327,  17.162,14.978,15.858,16.216
  729,  16.569,   4.606,18.428,19.105,19.035
  733,   9.615,  11.682,15.717,16.354,16.446
  736,  16.361,   4.777,15.418,16.247,16.554
  746,   5.242,  16.050,16.265,16.348,16.578
  747,  15.304,   5.795,17.887,18.574,18.576
  752,  12.876,   8.250,15.774,16.593,16.822
  764,  16.862,   4.095,18.672,19.141,19.116
  795,  -1.472,  22.536,18.289,18.961,18.902
  799,  -0.086,  21.129,18.291,18.973,18.916
  809,   1.888,  19.091,18.709,19.289,19.189
  811,   4.684,  16.259,17.443,18.146,18.143
  819,   5.096,  15.798,16.143,16.232,16.530
  824,   6.899,  13.946,17.868,18.592,18.541
  840,  18.218,   2.283,18.957,19.523,19.423
  860,  12.873,   7.649,17.884,18.620,18.592
  878,   0.884,  19.733,18.296,18.997,19.032
  879,  12.109,   8.336,18.947,19.446,19.458
  886,   8.524,  11.961,18.116,18.786,18.791
  889,   8.096,  12.379,18.538,19.114,19.047
  897,  10.296,  10.096,16.445,17.229,17.341
  901,  17.098,   3.114,18.842,19.362,19.230
  905,  17.180,   2.992,18.660,19.223,18.998
  906,  11.636,   8.661,17.767,18.520,18.511
  917,   8.091,  12.206,18.646,19.281,19.177
  921,  19.039,   0.991,18.485,19.005,18.884
  931,   5.922,  14.320,18.734,19.347,19.206
  932,   9.309,  10.875,18.728,19.315,19.193
  936,  19.196,   0.745,18.845,19.405,19.279
  942,  11.106,   8.998,16.518,17.289,17.394
  949,  15.210,   4.769,18.618,19.308,19.204
  959,   8.915,  11.108,18.873,19.439,19.317
  968,   7.880,  12.126,18.056,18.694,18.709
  978,   4.981,  15.025,18.467,19.094,19.157
  984,  14.457,   5.351,17.807,18.492,18.514
 1002,  -2.087,  22.077,18.186,18.784,18.821
 1009,  10.701,   9.099,17.457,18.217,18.214
 1025,  -1.387,  21.247,18.459,19.102,19.060
 1041,   8.062,  11.571,18.661,19.225,19.177
 1051,  12.809,   6.701,17.229,17.959,17.997
 1056,  11.949,   7.558,16.598,17.359,17.443
 1057,   8.889,  10.678,17.195,17.936,17.953
 1058,  -1.998,  21.700,17.985,19.423,19.364
 1068,  10.329,   9.157,18.134,18.693,18.614
 1071,   3.619,  15.975,18.996,19.579,19.454
 1082,   9.914,   9.502,17.668,18.310,18.395
 1084,  18.087,   1.123,14.402,15.363,15.849
 1096,  11.826,   7.431,17.924,18.638,18.626
 1098,   3.134,  16.256,18.562,19.067,18.953
 1101,  14.225,   4.944,18.482,19.085,18.990
 1102,  11.960,   7.250,16.981,17.704,17.857
 1128,  -2.880,  22.166,17.748,18.486,18.382
 1130,  14.264,   4.754,18.804,19.429,19.208
 1133,   9.677,   9.392,18.592,19.209,19.067
 1135,   6.022,  13.087,18.613,19.110,19.007
 1139,  11.699,   7.286,18.810,19.298,19.266
 1153,   0.262,  18.828,18.787,19.346,19.272
 1170,  14.989,   3.738,18.910,19.513,19.364
 1171,  19.028,  -0.404,17.745,17.949,18.189
 1173,   7.513,  11.337,18.647,18.868,19.029
 1174,  13.604,   5.118,18.603,19.195,19.130
 1178,   1.866,  17.056,18.815,19.419,19.316
 1186,   9.306,   9.448,18.960,19.528,19.403
 1197,   9.359,   9.302,18.261,18.920,18.892
 1205,   1.986,  16.737,18.908,19.516,19.385
 1222,  10.323,   8.138,14.806,15.757,16.097
 1226,  18.216,   0.045,18.253,18.942,18.891
 1227,   5.340,  13.185,16.676,17.407,17.487
 1242,  14.379,   3.903,18.007,18.684,18.669
 1245,   7.520,  10.894,18.912,19.365,19.307
 1252,   6.083,  12.332,18.842,19.379,19.362
 1254,  11.941,   6.352,12.953,13.690,14.258
 1256,  -0.791,  19.281,18.884,19.244,19.254
 1258,  12.889,   5.366,18.837,19.404,19.284
 1277,   2.593,  15.724,18.720,19.453,19.218
 1278,   5.294,  12.982,18.802,19.259,19.182
 1288,  13.677,   4.404,16.711,17.468,17.524
 1293,   7.235,  10.962,18.914,19.376,19.297
 1296,  -0.133,  18.434,18.110,18.818,18.756
 1308,  18.744,  -0.853,16.980,17.027,16.941
 1320,   9.962,   8.061,18.997,19.437,19.387
 1323,  17.403,   0.426,17.921,18.628,18.580
 1326,   5.113,  12.945,17.473,17.588,17.770
 1329,  -2.970,  21.112,18.482,19.141,19.057
 1331,  -2.615,  20.745,18.671,19.236,19.171
 1352,   5.615,  12.333,15.985,16.165,16.544
 1357,  11.272,   6.529,18.670,19.172,18.834
 1359,  -0.174,  18.151,18.268,18.815,18.723
 1361,   8.647,   9.188,17.386,18.096,18.134
 1388,   0.902,  16.838,18.725,19.338,19.140
 1392,   6.261,  11.392,18.525,19.146,19.076
 1400,  -0.089,  17.765,16.747,17.468,17.578
 1422,  15.036,   2.242,13.612,14.618,15.359
 1450,  18.350,  -1.290,18.701,19.242,19.231
 1465,  -2.613,  19.981,18.020,18.745,18.708
 1468,   1.033,  16.265,17.560,18.219,18.272
 1469,   5.771,  11.448,18.007,18.666,18.656
 1475,  14.760,   2.262,16.138,16.412,16.712
