Name,a,ecc,T0,M0,H,A,Class
Mercury,0.3871,0.2056,56939,290.8947,-0.705,0.14,PLA
Venus,0.7233,0.0068,56939,53.4809,-4.36,0.67,PLA
Earth,0.9991,0.0166,56939,271.1496,-3.82,0.37,PLA
Mars,1.5237,0.0935,56939,326.2714,-1.61,0.17,PLA
Jupiter,5.2016,0.0490,56939,108.3747,-9.40,0.52,PLA
Saturn,9.5424,0.0547,56939,137.3806,-8.89,0.47,PLA
Uranus,19.1727,0.0486,56939,206.6872,-7.18,0.51,PLA
Neptune,29.9769,0.0088,56939,271.7389,-6.88,0.41,PLA
"  1566 Icarus (1949 MA)",1.08,0.83,57200,47.22,16.90,0.51,NEO
"  1620 Geographos (1951 RA)",1.25,0.34,57200,38.62,15.60,0.33,NEO
"  1862 Apollo (1932 HA)",1.47,0.56,55120,103.32,16.25,0.25,NEO
"  1981 Midas (1973 EA)",1.78,0.65,57200,283.36,15.20,0.25,NEO
"  2101 Adonis (1936 CA)",1.87,0.76,57200,4.82,18.80,0.25,NEO
"  2102 Tantalus (1975 YA)",1.29,0.30,57200,311.25,16.00,0.25,NEO
"  2135 Aristaeus (1977 HA)",1.60,0.50,57200,346.00,17.94,0.25,NEO
"  2201 Oljato (1947 XC)",2.17,0.71,57200,9.91,15.25,0.43,NEO
"  3200 Phaethon (1983 TB)",1.27,0.89,57200,71.30,14.60,0.11,NEO
"  3361 Orpheus (1982 HR)",1.21,0.32,57200,27.34,19.03,0.25,NEO
"  3671 Dionysus (1984 KD)",2.20,0.54,57200,183.92,16.40,0.16,NEO
"  4015 Wilson-Harrington (1979 VA)",2.64,0.62,57200,116.16,15.99,0.05,NEO
"  4034 Vishnu (1986 PA)",1.06,0.44,57200,68.38,18.40,0.52,NEO
"  4179 Toutatis (1989 AC)",2.53,0.63,57200,233.01,15.30,0.25,NEO
"  4183 Cuno (1959 LM)",1.98,0.63,57200,55.85,14.40,0.25,NEO
"  4450 Pan (1987 SY)",1.44,0.59,57200,57.49,17.10,0.25,NEO
"  4486 Mithra (1987 SB)",2.20,0.66,57200,210.20,15.60,0.25,NEO
"  4581 Asclepius (1989 FC)",1.02,0.36,57200,211.15,20.70,0.25,NEO
"  4660 Nereus (1982 DB)",1.49,0.36,57200,145.28,18.20,0.55,NEO
"  4769 Castalia (1989 PB)",1.06,0.48,57200,147.44,16.90,0.25,NEO
"  4953 (1990 MU)",1.62,0.66,57200,101.74,14.10,0.25,NEO
"  5011 Ptah (6743 P-L)",1.64,0.50,57200,12.10,16.40,0.25,NEO
"  5189 (1990 UQ)",1.55,0.48,57200,324.30,17.90,0.25,NEO
"  5693 (1993 EA)",1.27,0.59,57200,24.23,16.60,0.25,NEO
"  6037 (1988 EG)",1.27,0.50,57200,71.77,18.70,0.25,NEO
"  6239 Minos (1989 QF)",1.15,0.41,57200,31.84,18.50,0.25,NEO
"  6489 Golevka (1991 JX)",2.51,0.60,52166,200.78,19.20,0.15,NEO
"  7335 (1989 JA)",1.77,0.48,57200,7.14,17.00,0.25,NEO
"  7341 (1991 VK)",1.84,0.51,57200,137.18,16.70,0.25,NEO
"  7482 (1994 PC1)",1.35,0.33,57200,262.70,16.80,0.25,NEO
"  7753 (1988 XB)",1.47,0.48,57200,10.93,18.60,0.25,NEO
"  7822 (1991 CS)",1.12,0.16,57200,245.85,17.40,0.25,NEO
"  8014 (1990 MF)",1.75,0.46,57200,279.94,18.70,0.25,NEO
"  8566 (1996 EN)",1.51,0.43,57200,77.55,16.30,0.25,NEO
"  9856 (1991 EE)",2.24,0.63,57200,36.66,17.40,0.30,NEO
" 10115 (1992 SK)",1.25,0.32,57200,202.20,17.00,0.25,NEO
" 11500 Tomaiyowit (1989 UR)",1.08,0.36,57200,216.95,18.30,0.25,NEO
" 12538 (1998 OH)",1.54,0.41,57200,6.35,15.80,0.25,NEO
" 12923 Zephyr (1999 GK4)",1.96,0.49,57200,272.24,15.80,0.25,NEO
" 13651 (1997 BR)",1.34,0.31,57200,251.36,17.60,0.25,NEO
