#Name,Sym,RA,Dec,Flag
Andromeda,AND,0.68169,+39.59286,A
Antlia,ANT,10.14013,-33.84212,M
Apus,APS,16.20204,-75.22282,M
Aquarius,AQR,22.40784,-10.15606,ZA
Aquila,AQL,19.64765,+02.09636,A
Ara,ARA,17.32854,-54.08356,A
Aries,ARI,2.66237,+19.95906,ZA
Auriga,AUR,5.94251,+40.62107,A
Bootes,BOO,14.62765,+29.10804,A
Caelum,CAE,4.74490,-38.01489,M
Camelopardalis,CAM,6.41622,+68.43532,M
Cancer,CNC,8.68322,+19.18940,ZA
Canes Venatici,CVN,13.14763,+40.04187,M
Canis Major,CMA,6.83024,-21.85711,A
Canis Minor,CMI,7.62933,+05.89764,A
Capricornus,CAP,21.02258,-18.55051,ZA
Carina,CAR,8.95389,-61.35707,M
Cassiopeia,CAS,1.16855,+61.58313,A
Centaurus,CEN,13.07069,-45.01624,A
Cepheus,CEP,22.97148,+70.82392,A
Cetus,CET,1.61978,-08.72766,A
Chamaeleon,CHA,10.69501,-78.99362,M
Circinus,CIR,14.77084,-63.07688,M
Columba,COL,5.79349,-35.44140,M
Coma Berenices,COM,12.75297,+22.22330,M
Corona Austrina,CRA,18.64677,-41.05371,A
Corona Borealis,CRB,15.88723,+32.09307,A
Corvus,CRV,12.42393,-18.09638,A
Crater,CRT,11.40756,-15.65066,A
Crux,CRU,12.44815,-59.99238,M
Cygnus,CYG,20.61006,+42.53633,A
Delphinus,DEL,20.68024,+12.15559,A
Dorado,DOR,5.11966,-60.97730,M
Draco,DRA,16.65790,+64.18460,A
Equuleus,EQU,21.20178,+07.46555,A
Eridanus,ERI,3.74250,-20.76762,A
Fornax,FOR,2.76596,-31.21532,M
Gemini,GEM,7.15585,+23.25312,ZA
Grus,GRU,22.53420,-44.93353,M
Hercules,HER,17.28759,+28.11835,A
Horologium,HOR,3.23267,-52.97463,M
Hydra,HYA,10.56775,-17.13746,M
Hydrus,HYI,2.36791,-70.98557,M
Indus,IND,21.61050,-58.12195,M
Lacerta,LAC,22.49739,+45.04069,A
Leo,LEO,10.69330,+14.78016,ZA
Leo Minor,LMI,10.34904,+33.32078,M
Lepus,LEP,5.57465,-18.99786,A
Libra,LIB,15.22447,-15.15893,ZA
Lupus,LUP,15.28148,-42.20145,A
Lynx,LYN,8.01440,+46.23233,M
Lyra,LYR,18.84338,+36.52469,A
Mensa,MEN,5.48830,-77.09548,M
Microscopium,MIC,20.96469,-35.93783,M
Monoceros,MON,7.01906,-02.66706,M
Musca,MUS,12.57279,-69.75414,M
Norma,NOR,16.07217,-51.52873,M
Octans,OCT,20.12756,-82.63119,M
Ophiuchus,OPH,17.30225,-05.21711,ZA
Orion,ORI,5.59489,+05.13814,A
Pavo,PAV,19.60648,-64.78405,M
Pegasus,PEG,22.70157,+19.11721,A
Perseus,PER,3.49832,+43.88451,A
Phoenix,PHE,0.76550,-47.18675,M
Pictor,PIC,5.61823,-52.23924,M
Pisces,PSC,0.64826,+10.77037,ZA
Piscis Austrinus,PSA,22.28580,-30.51081,A
Puppis,PUP,7.61916,-32.96146,M
Pyxis,PYX,8.91221,-28.38760,M
Reticulum,RET,3.89645,-60.70828,M
Sagitta,SGE,19.71013,+18.62872,A
Sagittarius,SGR,19.18492,-27.09177,ZA
Scorpius,SCO,16.79026,-31.81767,ZA
Sculptor,SCL,0.46576,-31.71431,M
Scutum,SCT,18.67306,-09.85133,M
Serpens Caput,SER1,15.69402,+09.87883,A
Serpens Cauda,SER2,18.15940,-06.31885,A
Sextans,SEX,10.27256,-02.60536,M
Taurus,TAU,4.42213,+16.83941,ZA
Telescopium,TEL,19.32748,-50.78692,M
Triangulum,TRI,2.13940,+32.05785,A
Triangulum Australe,TRA,16.06307,-65.64170,M
Tucana,TUC,23.89684,-63.91663,M
Ursa Major,UMA,10.98253,+52.52900,A
Ursa Minor,UMI,15.25697,+76.10533,A
Vela,VEL,9.62356,-47.40951,M
Virgo,VIR,13.28989,-02.63866,ZA
Volans,VOL,7.80638,-69.34626,M
Vulpecula,VUL,20.28617,+24.52380,M
