Name,H,A
"     1 Ceres",3.34,0.090
"     2 Pallas",4.13,0.1587
"     3 Juno",5.33,0.2383
"     4 Vesta",3.20,0.4228
"     5 Astraea",6.85,0.2268
"     6 Hebe",5.71,0.2679
"     7 Iris",5.51,0.2766
"     8 Flora",6.49,0.2426
"     9 Metis",6.28,0.118
"    10 Hygiea",5.43,0.0717
"    11 Parthenope",6.55,0.1803
"    12 Victoria",7.24,0.1765
"    13 Egeria",6.74,0.0825
"    14 Irene",6.30,0.159
"    15 Eunomia",5.28,0.2094
"    16 Psyche",5.90,0.1203
"    17 Thetis",7.76,0.1715
"    18 Melpomene",6.51,0.2225
"    19 Fortuna",7.13,0.037
"    20 Massalia",6.50,0.2096
"    21 Lutetia",7.35,0.2212
"    22 Kalliope",6.45,0.1419
"    23 Thalia",6.95,0.2536
"    24 Themis",7.08,0.067
"    25 Phocaea",7.83,0.2310
"    26 Proserpina",7.4,0.1966
"    27 Euterpe",7.0,0.162
"    28 Bellona",7.09,0.1763
"    29 Amphitrite",5.85,0.1793
"    30 Urania",7.57,0.1714
"    31 Euphrosyne",6.74,0.0543
"    32 Pomona",7.56,0.2564
"    34 Circe",8.51,0.0541
"    35 Leukothea",8.50,0.0662
"    36 Atalante",8.46,0.0654
"    37 Fides",7.29,0.1826
"    38 Leda",8.32,0.0618
"    39 Laetitia",6.0,0.2869
"    40 Harmonia",7.00,0.2418
"    41 Daphne",7.12,0.0828
"    42 Isis",7.53,0.1712
"    43 Ariadne",7.93,0.2740
"    44 Nysa",7.03,0.5458
"    45 Eugenia",7.46,0.0398
"    46 Hestia",8.36,0.0519
"    47 Aglaja",7.84,0.0801
"    48 Doris",6.90,0.0624
"    49 Pales",7.8,0.0597
"    50 Virginia",9.24,0.0357
"    51 Nemausa",7.35,0.0928
"    52 Europa",6.31,0.0578
"    53 Kalypso",8.81,0.0397
"    54 Alexandra",7.66,0.0555
"    55 Pandora",7.7,0.3013
"    56 Melete",8.31,0.0653
"    57 Mnemosyne",7.03,0.2149
"    58 Concordia",8.86,0.0578
"    59 Elpis",7.93,0.0438
"    60 Echo",8.21,0.2535
"    61 Danae",7.68,0.2224
"    62 Erato",8.76,0.0608
"    63 Ausonia",7.55,0.1586
"    64 Angelina",7.67,0.157
"    66 Maja",9.36,0.0618
"    67 Asia",8.28,0.2551
"    68 Leto",6.78,0.2283
"    69 Hesperia",7.05,0.1402
"    70 Panopaea",8.11,0.0675
"    71 Niobe",7.30,0.3052
"    72 Feronia",8.94,0.0636
"    73 Klytia",8.9,0.2247
"    74 Galatea",8.66,0.0431
"    75 Eurydike",8.96,0.1473
"    77 Frigga",8.52,0.1440
"    78 Diana",8.09,0.0706
"    79 Eurynome",7.96,0.2618
"    80 Sappho",7.98,0.1848
"    81 Terpsichore",8.48,0.0505
"    82 Alkmene",8.40,0.2075
"    83 Beatrix",8.66,0.0917
"    84 Klio",9.32,0.0527
"    85 Io",7.61,0.0666
"    86 Semele",8.54,0.0466
"    88 Thisbe",7.04,0.0671
"    89 Julia",6.60,0.1764
"    90 Antiope",8.27,0.0603
"    91 Aegina",8.84,0.0426
"    92 Undina",6.61,0.2509
"    93 Minerva",7.8,0.0733
"    94 Aurora",7.57,0.0395
"    95 Arethusa",7.9,0.0698
"    96 Aegle",7.67,0.0523
"    97 Klotho",7.63,0.2285
"    98 Ianthe",8.84,0.0471
"    99 Dike",9.43,0.0627
"   100 Hekate",7.67,0.1922
"   101 Helena",8.33,0.1898
"   102 Miriam",9.26,0.0507
"   103 Hera",7.66,0.1833
"   104 Klymene",8.27,0.0568
"   105 Artemis",8.57,0.0465
"   106 Dione",7.41,0.0893
"   109 Felicitas",8.75,0.0699
"   110 Lydia",7.80,0.1808
"   111 Ate",8.02,0.0605
"   112 Iphigenia",9.84,0.0393
"   113 Amalthea",8.74,0.2649
"   114 Kassandra",8.26,0.0884
"   115 Thyra",7.51,0.2747
"   116 Sirona",7.82,0.2560
"   117 Lomia",7.95,0.0528
"   118 Peitho",9.14,0.2240
"   119 Althaea",8.42,0.2306
"   120 Lachesis",7.75,0.0463
"   123 Brunhild",8.8,0.2134
"   124 Alkeste",8.11,0.1728
"   125 Liberatrix",9.04,0.2253
"   126 Velleda",9.27,0.1723
"   128 Nemesis",7.49,0.0504
"   129 Antigone",7.07,0.164
"   130 Elektra",7.12,0.0755
"   131 Vala",10.03,0.1051
"   133 Cyrene",7.98,0.2563
"   134 Sophrosyne",8.76,0.0364
"   135 Hertha",8.23,0.1436
"   136 Austria",9.69,0.1459
"   137 Meliboea",8.05,0.0503
"   138 Tolosa",8.75,0.2699
"   139 Juewa",7.78,0.0557
"   140 Siwa",8.34,0.0676
"   141 Lumen",8.4,0.0540
"   142 Polana",10.27,0.0451
"   143 Adria",9.12,0.0491
"   144 Vibilia",7.91,0.0597
"   145 Adeona",8.13,0.0433
"   146 Lucina",8.20,0.0531
"   147 Protogeneia",8.6,0.0492
"   148 Gallia",7.63,0.1640
"   149 Medusa",10.79,0.2334
"   150 Nuwa",8.23,0.0395
"   151 Abundantia",9.1,0.1728
"   154 Bertha",7.58,0.0480
"   155 Scylla",11.39,0.0309
"   156 Xanthippe",8.64,0.0422
"   158 Koronis",9.27,0.2766
"   159 Aemilia",8.12,0.0639
"   160 Una",9.08,0.0625
"   161 Athor",9.15,0.1980
"   162 Laurentia",8.83,0.0529
"   163 Erigone",9.47,0.0546
"   164 Eva",8.89,0.0447
"   165 Loreley",7.65,0.0642
"   167 Urda",9.1,0.2230
"   169 Zelia",9.56,0.2347
"   170 Maria",9.39,0.1579
"   171 Ophelia",8.31,0.0615
"   172 Baucis",8.79,0.1382
"   173 Ino",7.66,0.0642
"   174 Phaedra",8.48,0.1495
"   175 Andromache",8.31,0.0819
"   176 Iduna",8.2,0.0834
"   177 Irma",9.49,0.0527
"   178 Belisana",9.3,0.2438
"   179 Klytaemnestra",8.15,0.1609
"   181 Eucharis",7.84,0.1135
"   182 Elsa",9.12,0.2083
"   183 Istria",9.68,0.1890
"   184 Dejopeja",8.31,0.1897
"   185 Eunike",7.62,0.0638
"   186 Celuta",8.91,0.1929
"   187 Lamberta",8.16,0.0566
"   188 Menippe",9.22,0.2431
"   189 Phthia",9.33,0.2310
"   191 Kolga",9.07,0.0408
"   192 Nausikaa",7.13,0.2330
"   194 Prokne",7.68,0.0528
"   195 Eurykleia",9.01,0.0599
"   196 Philomela",6.54,0.2299
"   197 Arete",9.18,0.4417
"   198 Ampella",8.33,0.2517
"   200 Dynamene",8.26,0.0533
"   201 Penelope",8.43,0.1604
"   202 Chryseis",7.42,0.2562
"   203 Pompeja",8.76,0.0410
"   204 Kallisto",8.89,0.2082
"   205 Martha",9.23,0.0553
"   207 Hedda",9.92,0.0552
"   208 Lacrimosa",8.96,0.2696
"   209 Dido",8.24,0.0349
"   210 Isabella",9.33,0.0436
"   211 Isolda",7.89,0.0602
"   212 Medea",8.28,0.0465
"   213 Lilaea",8.64,0.0897
"   214 Aschera",9.1,0.5220
"   215 Oenone",9.4,0.2044
"   216 Kleopatra",7.30,0.1164
"   217 Eudora",9.80,0.0484
"   218 Bianca",8.60,0.1746
"   219 Thusnelda",9.32,0.2009
"   220 Stephania",11.1,0.0726
"   221 Eos",7.67,0.1400
"   222 Lucia",9.13,0.1318
"   223 Rosa",9.68,0.0309
"   224 Oceana",8.59,0.1694
"   226 Weringia",9.9,0.2035
"   227 Philosophia",9.0,0.0768
"   228 Agathe",12.48,0.2082
"   230 Athamantis",7.35,0.1708
"   231 Vindobona",9.5,0.0545
"   232 Russia",10.25,0.0494
"   233 Asterope",8.21,0.0870
"   234 Barbara",9.02,0.2276
"   235 Carolina",8.8,0.1580
"   236 Honoria",8.18,0.1271
"   237 Coelestina",9.24,0.2108
"   238 Hypatia",8.18,0.0428
"   239 Adrastea",10.4,0.0777
"   240 Vanadis",9.00,0.0411
"   241 Germania",7.58,0.0575
"   242 Kriemhild",9.20,0.2440
"   243 Ida",9.94,0.2383
"   244 Sita",11.9,0.1941
"   245 Vera",7.82,0.2082
"   246 Asporina",8.62,0.1744
"   247 Eukrate",8.04,0.0595
"   248 Lameia",10.2,0.0615
"   249 Ilse",11.33,0.0428
"   250 Bettina",7.58,0.2581
"   251 Sophia",9.9,0.2188
"   252 Clementina",9.7,0.0843
"   253 Mathilde",10.3,0.0436
"   254 Augusta",12.13,0.1695
"   255 Oppavia",10.39,0.0374
"   256 Walpurga",9.80,0.0530
"   257 Silesia",9.47,0.0545
"   258 Tyche",8.50,0.1676
"   259 Aletheia",7.76,0.0436
"   261 Prymno",9.44,0.1141
"   263 Dresda",10.2,0.2263
"   264 Libussa",8.42,0.2971
"   265 Anna",11.9,0.1045
"   266 Aline",8.80,0.0448
"   267 Tirza",10.1,0.0402
"   268 Adorea",8.28,0.0440
"   269 Justitia",9.7,0.0974
"   270 Anahita",8.75,0.2166
"   271 Penthesilea",9.80,0.0633
